Logged GDP per capita,Perceptions of corruption,Healthy life expectancy,Social support,Country name,Ladder score
7.833630085,0.780622602,57.34901047,0.625662446,Comoros,4.288599968
7.357711315,0.757733464,54.71989822,0.551312625,Togo,4.187200069
7.509385586,0.753690004,58.63959122,0.743307352,Ethiopia,4.186200142
7.281685829,0.817485631,59.10542679,0.668195903,Madagascar,4.165599823
9.316541672,0.787726879,61.78015137,0.735447824,Egypt,4.151400089
7.26880312,0.861330688,50.86514282,0.636142015,Sierra Leone,3.926399946
6.492642403,0.606934547,53.40000153,0.490325719,Burundi,3.775300026
8.224720001,0.801289678,55.29937744,0.698824465,Zambia,3.759399891
7.411329269,0.684767246,55.59862518,0.593247831,Haiti,3.720799923
7.960488319,0.857392073,48.00362396,0.780495703,Lesotho,3.652800083
8.849823952,0.772042692,60.21518707,0.592200935,India,3.573299885
7.062226295,0.731700778,57.59288788,0.544007301,Malawi,3.538000107
7.759682655,0.800287724,56.72728348,0.817980587,Yemen,3.527400017
9.711203575,0.777930915,58.92445374,0.779121757,Botswana,3.478899956
7.967665195,0.619799435,57.49607468,0.688933194,Tanzania,3.476200104
6.625160217,0.891806662,45.20000076,0.319459856,Central African Republic,3.475899935
7.600104332,0.183541179,61.09884644,0.54083544,Rwanda,3.312299967
7.865711689,0.81023699,55.61725998,0.763092756,Zimbabwe,3.299200058
7.425359726,0.763417304,51.0,0.553707123,South Sudan,2.816600084
7.462860584,0.933686554,52.59000015,0.470366955,Afghanistan,2.566900015
